2.2151	5.0229
2.9293	8.7058
1.5699	2.4182
1.2897	1.5332
0.62147	0.39666
0.9702	0.80083
0.33261	0.28182
1.1256	1.3485
0.98971	1.1376
1.0263	1.2003
2.4514	5.9937
1.5951	2.449
1.5634	2.5379
2.3229	5.6394
0.36079	0.26514
1.8764	3.6855
1.0399	1.1845
1.0039	1.0554
1.7238	3.0981
2.5918	6.7159
3.5957	0.53741
5.0174	3.8537
5.7055	7.554
3.5975	0.15635
3.8949	0.82425
4.4896	2.1703
5.6697	6.9309
4.5042	2.3748
3.831	0.74738
4.6019	2.7075
4.7227	3.0012
4.2384	1.6893
3.0443	0.04035
5.1083	4.6669
4.5202	2.4969
4.1438	1.3121
3.1948	0.18236
4.0757	1.1437
3.7028	0.65826
3.6105	0.28397
8.4413	6.1982
7.1803	1.2822
6.1607	-0.18775
7.1252	1.3916
8.325	5.5711
6.4959	0.45708
8.7367	7.4028
6.9576	1.0691
6.9893	0.99792
6.6127	0.35706
8.3016	5.4579
6.2099	0.27002
8.8501	7.9112
6.4746	0.32961
6.8593	0.60592
8.0614	4.1988
6.4234	0.063372
7.5363	2.5264
8.164	4.9305
8.7865	7.8397
